Year,Title,Abstract,Text,y,Label,Probability
2023,global mining footprint mapped from high-resolution satellite imagery,"mining is of major economic, environmental and societal consequence, yet knowledge and understanding of its global footprint is still limited. here, we produce a global mining land use dataset via remote sensing analysis of high-resolution, publicly available satellite imagery. the dataset comprises 74,548 polygons, covering ~66,000 km2 of features like waste rock dumps, pits, water ponds, tailings dams, heap leach pads and processing/milling infrastructure. our polygons finely contour the edges of mine features and do not include the space between them. this distinguishes our dataset from others that employ broader definitions of mining lands. hence, despite our database being the largest to date by number of polygons, comparisons show relatively lower global land use. our database is made freely available to support future studies of global mining impacts. a series of spatial analyses are also presented that highlight global mine distribution patterns and broader environmental risks. © 2023, the author(s).","global mining footprint mapped from high-resolution satellite imagery mining is of major economic, environmental and societal consequence, yet knowledge and understanding of its global footprint is still limited. here, we produce a global mining land use dataset via remote sensing analysis of high-resolution, publicly available satellite imagery. the dataset comprises 74,548 polygons, covering ~66,000 km2 of features like waste rock dumps, pits, water ponds, tailings dams, heap leach pads and processing/milling infrastructure. our polygons finely contour the edges of mine features and do not include the space between them. this distinguishes our dataset from others that employ broader definitions of mining lands. hence, despite our database being the largest to date by number of polygons, comparisons show relatively lower global land use. our database is made freely available to support future studies of global mining impacts. a series of spatial analyses are also presented that highlight global mine distribution patterns and broader environmental risks. © 2023, the author(s).",1,water,0.8889025449752808
2023,soil phosphorus availability and fractionation in response to different phosphorus sources in alkaline and acid soils: a short-term incubation study,"using agricultural wastes as an alternative phosphorus (p) source has great prospects to improve soil p status. a 70-day incubation experiment was carried out to investigate the effects of superphosphate (ssp), poultry manure (pm), cattle manure (cm), maize straw (ms), and cattle bone meal (cb) with the same total p input on soil p availability and fractions in typical acidic (red soil) and alkaline (fluvo-aquic soil) soils. the results showed that in both fluvo-aquic and red soils, cm out-performed other p sources in improving soil p availability. changes in soil olsen-p (δolsen-p) were greater in fluvo-aquic soils with ssp, pm and cm additions than in red soils. among the different p sources used, only cm has increased the labile soil p fractions to levels similar to that with ssp. compared with ssp, more monoester p and inositol hexakisphosphate were detected in soils amended with pm and cm. a structural equation model (sem) analysis suggested that soil ph had a direct positive effect on the labile p fractions in the acidic red soil amended with different p sources. in summary, cm is a superior p source for increasing plant available soil p, with considerable practical implications for p recycling. © 2023, the author(s).","soil phosphorus availability and fractionation in response to different phosphorus sources in alkaline and acid soils: a short-term incubation study using agricultural wastes as an alternative phosphorus (p) source has great prospects to improve soil p status. a 70-day incubation experiment was carried out to investigate the effects of superphosphate (ssp), poultry manure (pm), cattle manure (cm), maize straw (ms), and cattle bone meal (cb) with the same total p input on soil p availability and fractions in typical acidic (red soil) and alkaline (fluvo-aquic soil) soils. the results showed that in both fluvo-aquic and red soils, cm out-performed other p sources in improving soil p availability. changes in soil olsen-p (δolsen-p) were greater in fluvo-aquic soils with ssp, pm and cm additions than in red soils. among the different p sources used, only cm has increased the labile soil p fractions to levels similar to that with ssp. compared with ssp, more monoester p and inositol hexakisphosphate were detected in soils amended with pm and cm. a structural equation model (sem) analysis suggested that soil ph had a direct positive effect on the labile p fractions in the acidic red soil amended with different p sources. in summary, cm is a superior p source for increasing plant available soil p, with considerable practical implications for p recycling. © 2023, the author(s).",0,soil,0.9789943695068359
2023,engineered mineralogical interfaces as radionuclide repositories,"effective capture of fugitive actinides and daughter radionuclides constitutes a major remediation challenge at legacy or nuclear accident sites globally. the ability of double-layered, anionic clay minerals known as hydrotalcites (htc) to contemporaneously sequester a range of contaminants from solution offers a unique remedy. however, htc do not provide a robust repository for actinide isolation over the long term. in this study, we formed htc by in-situ precipitation in a barren lixiviant from a uranium mine and thermally transformed the resulting radionuclide-laden, nanoscale htc. atomic-scale forensic examination of the amorphized/recrystallised product reveals segregation of u to nanometre-wide mineral interfaces and the local formation of interface-hosted mineral grains. this u-phase is enriched in rare earth elements, a geochemical analogue of actinides such as np and pu, and represents a previously unreported radionuclide interfacial segregation. u-rich phases associated with the mineral interfaces record a u concentration factor of ~ 50,000 relative to the original solute demonstrating high extraction and concentration efficiencies. in addition, the co-existing host mineral suite of periclase, spinel-, and olivine-group minerals that equate to a lower mantle, high p–t mineral assemblage have geochemical and geotechnical properties suitable for disposal in a nuclear waste repository. our results record the efficient sequestering of radionuclides from contaminated water and this novel, broad-spectrum, nanoscale htc capture and concentration process constitutes a rapid solute decontamination pathway and solids containment option in perpetuity. © 2023, crown.","engineered mineralogical interfaces as radionuclide repositories effective capture of fugitive actinides and daughter radionuclides constitutes a major remediation challenge at legacy or nuclear accident sites globally. the ability of double-layered, anionic clay minerals known as hydrotalcites (htc) to contemporaneously sequester a range of contaminants from solution offers a unique remedy. however, htc do not provide a robust repository for actinide isolation over the long term. in this study, we formed htc by in-situ precipitation in a barren lixiviant from a uranium mine and thermally transformed the resulting radionuclide-laden, nanoscale htc. atomic-scale forensic examination of the amorphized/recrystallised product reveals segregation of u to nanometre-wide mineral interfaces and the local formation of interface-hosted mineral grains. this u-phase is enriched in rare earth elements, a geochemical analogue of actinides such as np and pu, and represents a previously unreported radionuclide interfacial segregation. u-rich phases associated with the mineral interfaces record a u concentration factor of ~ 50,000 relative to the original solute demonstrating high extraction and concentration efficiencies. in addition, the co-existing host mineral suite of periclase, spinel-, and olivine-group minerals that equate to a lower mantle, high p–t mineral assemblage have geochemical and geotechnical properties suitable for disposal in a nuclear waste repository. our results record the efficient sequestering of radionuclides from contaminated water and this novel, broad-spectrum, nanoscale htc capture and concentration process constitutes a rapid solute decontamination pathway and solids containment option in perpetuity. © 2023, crown.",1,water,0.8603823184967041
2023,waste-derived catalysts for water electrolysis: circular economy-driven sustainable green hydrogen energy,"the sustainable production of green hydrogen via water electrolysis necessitates cost-effective electrocatalysts. by following the circular economy principle, the utilization of waste-derived catalysts significantly promotes the sustainable development of green hydrogen energy. currently, diverse waste-derived catalysts have exhibited excellent catalytic performance toward hydrogen evolution reaction (her), oxygen evolution reaction (oer), and overall water electrolysis (owe). herein, we systematically examine recent achievements in waste-derived electrocatalysts for water electrolysis. the general principles of water electrolysis and design principles of efficient electrocatalysts are discussed, followed by the illustration of current strategies for transforming wastes into electrocatalysts. then, applications of waste-derived catalysts (i.e., carbon-based catalysts, transitional metal-based catalysts, and carbon-based heterostructure catalysts) in her, oer, and owe are reviewed successively. an emphasis is put on correlating the catalysts’ structure–performance relationship. also, challenges and research directions in this booming field are finally highlighted. this review would provide useful insights into the design, synthesis, and applications of waste-derived electrocatalysts, and thus accelerate the development of the circular economy-driven green hydrogen energy scheme. © 2022, the author(s).","waste-derived catalysts for water electrolysis: circular economy-driven sustainable green hydrogen energy the sustainable production of green hydrogen via water electrolysis necessitates cost-effective electrocatalysts. by following the circular economy principle, the utilization of waste-derived catalysts significantly promotes the sustainable development of green hydrogen energy. currently, diverse waste-derived catalysts have exhibited excellent catalytic performance toward hydrogen evolution reaction (her), oxygen evolution reaction (oer), and overall water electrolysis (owe). herein, we systematically examine recent achievements in waste-derived electrocatalysts for water electrolysis. the general principles of water electrolysis and design principles of efficient electrocatalysts are discussed, followed by the illustration of current strategies for transforming wastes into electrocatalysts. then, applications of waste-derived catalysts (i.e., carbon-based catalysts, transitional metal-based catalysts, and carbon-based heterostructure catalysts) in her, oer, and owe are reviewed successively. an emphasis is put on correlating the catalysts’ structure–performance relationship. also, challenges and research directions in this booming field are finally highlighted. this review would provide useful insights into the design, synthesis, and applications of waste-derived electrocatalysts, and thus accelerate the development of the circular economy-driven green hydrogen energy scheme. © 2022, the author(s).",3,metal,0.9528297185897827
2023,greywater treatment in a green wall using different filter materials and hydraulic loading rates,"green walls in urban environments can be both an aesthetic feature and be of practical use in greywater treatment. this study evaluates the effect of different loading rates (4.5 l/d, 9 l/d, and 18 l/d) on the efficiency of treating actual greywater from a city district in a pilot-scale green wall with five different filter materials as substrates (biochar, pumice, hemp fiber, spent coffee grounds (scg), and composted fiber soil (cfs)). three cool climate plant species, carex nigra, juncus compressus, and myosotis scorpioides, were chosen for the green wall. the following parameters were evaluated: biological oxygen demand (bod), fractions of organic carbon, nutrients, indicator bacteria, surfactants, and salt. three of the five materials investigated – biochar, pumice, and cfs - showed promising treatment efficiencies. the respective overall reduction efficiencies of bod, total nitrogen (tn) and total phosphorus (tp) were 99%, 75%, and 57% for biochar; 96%, 58%, and 61% for pumice; and 99%, 82% and 85% for cfs. bod was stable in the biochar filter material with effluent concentrations of 2 mg/l across all investigated loading rates. however, higher loading rates had a significantly negative effect on hemp and pumice for bod. interestingly, the highest loading rate (18 l/d) flowing over pumice removed the highest levels of tn (80%) and tp (86%). biochar was the most effective material in removing indicator bacteria, with a 2.2–4.0 log10 reduction for e. coli and enterococci. scg was the least efficient material, giving a higher bod in the effluent than in the influent. therefore, this study presents the potential of natural and waste-derived filter materials to treat greywater effectively and the results can contribute to the future development of nature-based greywater treatment and management practices in urban areas. © 2023 the authors","greywater treatment in a green wall using different filter materials and hydraulic loading rates green walls in urban environments can be both an aesthetic feature and be of practical use in greywater treatment. this study evaluates the effect of different loading rates (4.5 l/d, 9 l/d, and 18 l/d) on the efficiency of treating actual greywater from a city district in a pilot-scale green wall with five different filter materials as substrates (biochar, pumice, hemp fiber, spent coffee grounds (scg), and composted fiber soil (cfs)). three cool climate plant species, carex nigra, juncus compressus, and myosotis scorpioides, were chosen for the green wall. the following parameters were evaluated: biological oxygen demand (bod), fractions of organic carbon, nutrients, indicator bacteria, surfactants, and salt. three of the five materials investigated – biochar, pumice, and cfs - showed promising treatment efficiencies. the respective overall reduction efficiencies of bod, total nitrogen (tn) and total phosphorus (tp) were 99%, 75%, and 57% for biochar; 96%, 58%, and 61% for pumice; and 99%, 82% and 85% for cfs. bod was stable in the biochar filter material with effluent concentrations of 2 mg/l across all investigated loading rates. however, higher loading rates had a significantly negative effect on hemp and pumice for bod. interestingly, the highest loading rate (18 l/d) flowing over pumice removed the highest levels of tn (80%) and tp (86%). biochar was the most effective material in removing indicator bacteria, with a 2.2–4.0 log10 reduction for e. coli and enterococci. scg was the least efficient material, giving a higher bod in the effluent than in the influent. therefore, this study presents the potential of natural and waste-derived filter materials to treat greywater effectively and the results can contribute to the future development of nature-based greywater treatment and management practices in urban areas. © 2023 the authors",0,soil,0.9677907824516296
2023,surfactant-assisted air flotation: a novel approach for the removal of microplastics from municipal solid waste incineration bottom ash,"the potential for the presence of microplastics (mps) in municipal solid waste incineration bottom ash (mswi-ba) has not been fully explored. in this study, surfactant-assisted air flotation separation in aqueous media was used to examine the removal of mps and other pollutants from different particle size fractions of mswi-ba. the use of 1 mmol l−1 sodium dodecylbenzene sulfonate (sdbs), at a liquid-solid ratio of 60:1, increased by 66 % the quantity of mps floated from the mswi-ba 0–0.3 mm fraction, as compared to pure water. the four most common shapes of the floated mps were pellets, fragments, films and fibers, and the major polymers were polypropylene, polyethylene, polymethyl methacrylate, and polystyrene (approximately 450 μg g−1 ba). the flotation of &lt;10 μm mps increased by up to 7 % using this method compared to flotation in saturated nacl solution. reuse of the flotation solution with the sdbs concentration maintained resulted in reduced mps removal abundance by 22 % in the fourth use as compared to the first use. mps removal correlated positively to sdbs concentration and negatively to turbidity. precipitation from the fourth flotation solution was evaluated using polyacrylamide (pam) and polyaluminium chloride (pac) for the purpose of promoting the regeneration and recycling of the flotation solution. this treatment reduced mps abundance, turbidity, and potential heavy metals in the recycled flotation solution. it is estimated that 3.4 kg of mps could be removed from each ton of mswi-ba. the findings of this study contribute to a better understanding of the redistribution of mps during mswi-ba pre-use treatment and provides a reference for the practical application of surfactant-assisted air flotation separation. © 2023 elsevier b.v.","surfactant-assisted air flotation: a novel approach for the removal of microplastics from municipal solid waste incineration bottom ash the potential for the presence of microplastics (mps) in municipal solid waste incineration bottom ash (mswi-ba) has not been fully explored. in this study, surfactant-assisted air flotation separation in aqueous media was used to examine the removal of mps and other pollutants from different particle size fractions of mswi-ba. the use of 1 mmol l−1 sodium dodecylbenzene sulfonate (sdbs), at a liquid-solid ratio of 60:1, increased by 66 % the quantity of mps floated from the mswi-ba 0–0.3 mm fraction, as compared to pure water. the four most common shapes of the floated mps were pellets, fragments, films and fibers, and the major polymers were polypropylene, polyethylene, polymethyl methacrylate, and polystyrene (approximately 450 μg g−1 ba). the flotation of &lt;10 μm mps increased by up to 7 % using this method compared to flotation in saturated nacl solution. reuse of the flotation solution with the sdbs concentration maintained resulted in reduced mps removal abundance by 22 % in the fourth use as compared to the first use. mps removal correlated positively to sdbs concentration and negatively to turbidity. precipitation from the fourth flotation solution was evaluated using polyacrylamide (pam) and polyaluminium chloride (pac) for the purpose of promoting the regeneration and recycling of the flotation solution. this treatment reduced mps abundance, turbidity, and potential heavy metals in the recycled flotation solution. it is estimated that 3.4 kg of mps could be removed from each ton of mswi-ba. the findings of this study contribute to a better understanding of the redistribution of mps during mswi-ba pre-use treatment and provides a reference for the practical application of surfactant-assisted air flotation separation. © 2023 elsevier b.v.",2,air,0.8221301436424255
2023,hazardous wastes and management strategies of landfill leachates: a comprehensive review,"leachate usually includes toxic organic and inorganic pollutants, heavy metals, ammonia nitrogen compounds, and other dissolved and suspended contaminants. careful management of landfill leachate (lfl) is essential to reduce leachate quantity and prevent the unfortunate fate of leachate contamination. in contrast to the management of solid waste incinerators, lfl disposal has serious ecological and health impacts in most developing countries, mainly associated with groundwater, soil, and air pollution. this could be attributed to the absence of cost-effective treatment technology or ideal disposal guidelines by the cities/municipalities. therefore, ecological evaluation and sustainable managing of lfl collection and disposal treatment are highly recommended. this review describes the classification and composition of leachates, the factors affecting leachate production, and the conventional (current) treatment options for lfls. procedures of aerobic and anaerobic biological treatment employing microbial operated separately or in combination along with physiochemical management processes are also discussed. this review examines the prospects of lfl treatment methods/techniques, how to economize lfl treatment methods (e.g., waste pretreatment) using readiness level technology, and recycling sorting technology. © 2023 the author(s)","hazardous wastes and management strategies of landfill leachates: a comprehensive review leachate usually includes toxic organic and inorganic pollutants, heavy metals, ammonia nitrogen compounds, and other dissolved and suspended contaminants. careful management of landfill leachate (lfl) is essential to reduce leachate quantity and prevent the unfortunate fate of leachate contamination. in contrast to the management of solid waste incinerators, lfl disposal has serious ecological and health impacts in most developing countries, mainly associated with groundwater, soil, and air pollution. this could be attributed to the absence of cost-effective treatment technology or ideal disposal guidelines by the cities/municipalities. therefore, ecological evaluation and sustainable managing of lfl collection and disposal treatment are highly recommended. this review describes the classification and composition of leachates, the factors affecting leachate production, and the conventional (current) treatment options for lfls. procedures of aerobic and anaerobic biological treatment employing microbial operated separately or in combination along with physiochemical management processes are also discussed. this review examines the prospects of lfl treatment methods/techniques, how to economize lfl treatment methods (e.g., waste pretreatment) using readiness level technology, and recycling sorting technology. © 2023 the author(s)",0,soil,0.9563708305358887
2023,accelerating bioleaching of tungsten mining wastes using indigenous acidophilic bacteria,"the growing amount of w mining waste produced globally is of concern for its proven hazard to the environment and to human health. while uncontrolled biooxidation can result in environmental harm, bioleaching, where pregnant leach solutions are controlled, has been widely used in the mining industry for valuable metals recovery, often from low-grade materials. this bioleaching study was developed to evaluate whether the biogeochemical reprocessing of w tailings could be employed for the decontamination of w-bearing mine waste, combined with valuable metals recovery, i.e., turning a waste into a resource. using an in-vitro laboratory model, the susceptibility of wolframite [(fe,mn)wo4] to acid dissolution during the concomitant oxidation of co-localized sulfidic minerals represented the basic strategy for enhanced w recovery. encouragingly, geochemistry and synchrotron-based x-ray absorption near edge structure of weathered w tailings demonstrated that early-stage wolframite dissolution occurred. however, w dissolution was limited by the formation of secondary w minerals; weathering produced two secondary w minerals i.e., gallium-rich tungstate and minor sanmartinite [(zn,fe)wo4]. the dissolution and re-precipitation of w minerals may provide a strategy for w waste reprocessing if the two processes can be separated by initially putting w into solution, and allowing for its extraction from tailings, followed by its’ recovery by secondary w mineral formation. © 2023 elsevier b.v.","accelerating bioleaching of tungsten mining wastes using indigenous acidophilic bacteria the growing amount of w mining waste produced globally is of concern for its proven hazard to the environment and to human health. while uncontrolled biooxidation can result in environmental harm, bioleaching, where pregnant leach solutions are controlled, has been widely used in the mining industry for valuable metals recovery, often from low-grade materials. this bioleaching study was developed to evaluate whether the biogeochemical reprocessing of w tailings could be employed for the decontamination of w-bearing mine waste, combined with valuable metals recovery, i.e., turning a waste into a resource. using an in-vitro laboratory model, the susceptibility of wolframite [(fe,mn)wo4] to acid dissolution during the concomitant oxidation of co-localized sulfidic minerals represented the basic strategy for enhanced w recovery. encouragingly, geochemistry and synchrotron-based x-ray absorption near edge structure of weathered w tailings demonstrated that early-stage wolframite dissolution occurred. however, w dissolution was limited by the formation of secondary w minerals; weathering produced two secondary w minerals i.e., gallium-rich tungstate and minor sanmartinite [(zn,fe)wo4]. the dissolution and re-precipitation of w minerals may provide a strategy for w waste reprocessing if the two processes can be separated by initially putting w into solution, and allowing for its extraction from tailings, followed by its’ recovery by secondary w mineral formation. © 2023 elsevier b.v.",3,metal,0.9347288608551025
2023,reprocessed construction and demolition waste as an adsorbent: an appraisal,"construction and demolition (c&d) waste is solid wastes generated from the construction, demolition, and renovation activities that constitute almost 30–40 % of globally generated solid wastes. improper disposal and management of these materials can cause negative impacts on the environment, economy, and human health. most research on c&d waste is limited to reduction, recycling, and reuse of the wastes. however, there is no systematic review dedicated entirely to the applicability of c&d wastes as adsorbent for waste management. this review presents the utilization of c&d wastes-based adsorbents for removing contaminants from environmental matrices covering triple edge benefits in the viewpoints of waste treatment, solid waste management, and disposal. the properties, the capability of c&d waste adsorbents on contaminant removal, and the influence of various factors on the adsorptive removal is detailed. further, the mechanisms involved in contaminant removal by c&d waste are summarized. the review revealed that, chemisorption is the prominent mechanism of contaminant removal by most c&d wastes. among the three types of c&d waste reviewed; concrete-based adsorbents were the most efficient for contaminant removal. limited studies are avaiable in the literature on binary and multiple contaminant systems, reusability studies, and high dependence on solution ph, therefore further studies are warrated. as c&d waste contain trace concentration of heavy metals and contaminants, its leaching potential at different ph levels and adsorbate concentration need to be conducted, which has been hitherto neglected. finally, the approaches, obstacles, and potential solutions to build an industrially and economically efficient c&d adsorbent are discussed. © 2023 the authors","reprocessed construction and demolition waste as an adsorbent: an appraisal construction and demolition (c&d) waste is solid wastes generated from the construction, demolition, and renovation activities that constitute almost 30–40 % of globally generated solid wastes. improper disposal and management of these materials can cause negative impacts on the environment, economy, and human health. most research on c&d waste is limited to reduction, recycling, and reuse of the wastes. however, there is no systematic review dedicated entirely to the applicability of c&d wastes as adsorbent for waste management. this review presents the utilization of c&d wastes-based adsorbents for removing contaminants from environmental matrices covering triple edge benefits in the viewpoints of waste treatment, solid waste management, and disposal. the properties, the capability of c&d waste adsorbents on contaminant removal, and the influence of various factors on the adsorptive removal is detailed. further, the mechanisms involved in contaminant removal by c&d waste are summarized. the review revealed that, chemisorption is the prominent mechanism of contaminant removal by most c&d wastes. among the three types of c&d waste reviewed; concrete-based adsorbents were the most efficient for contaminant removal. limited studies are avaiable in the literature on binary and multiple contaminant systems, reusability studies, and high dependence on solution ph, therefore further studies are warrated. as c&d waste contain trace concentration of heavy metals and contaminants, its leaching potential at different ph levels and adsorbate concentration need to be conducted, which has been hitherto neglected. finally, the approaches, obstacles, and potential solutions to build an industrially and economically efficient c&d adsorbent are discussed. © 2023 the authors",3,metal,0.8514937162399292
2023,"sequential treatment of landfill leachate by electrocoagulation/aeration, pms/zvi/uv and electro-fenton: performance, biodegradability and toxicity studies","this study presents a systematic study on sequential treatment of highly resistant landfill leachate by electrocoagulation (ec)/aeration, sulfate radical advanced oxidation process (sr-aop) and electro-fenton (ef). in case of sr-aop, peroxymonosulfate (pms) catalyzed by zero valent iron (zvi) and ultraviolet irradiation (uv) system was developed. treatment process was optimized in respect to cod removal. analysis of results revealed that sequential application of ec/aeration, pms/zvi/uv, and ef processes provide an extraordinary performance and meet the environmental regulations. the source of iron for ef process was provided from previous process reducing the cost of sequential process. separately, ec/aeration (inlet cod = 4040 mg/l), pms/zvi/uv (inlet cod = 1560 mg/l), and ef (inlet cod = 471 mg/l) removed 61, 69 and 82% of cod respectively. overall, sequential processes of ec/aeration, pms/zvi/uv and ef could remove the cod, toc and ammonia of the landfill leachate around 98%, 93% and 94%, respectively. the comparison of different sequences of following processes indicated that current configuration (ec/aeration-pms/zvi/uv-ef) could meet the discharge standards. furthermore, humification degree was significantly improved after oxidative processes. biodegradability study was also performed by means of bod/cod, average oxidation state (aos), and zahn-wellens test, and the best results associated with these indices were obtained 0.56, 2.37, and over 98%, respectively. phytotoxicity of leachate was remarkably reduced and the final effluent can be considered as a non-phytotoxic wastewater. © 2023 elsevier ltd","sequential treatment of landfill leachate by electrocoagulation/aeration, pms/zvi/uv and electro-fenton: performance, biodegradability and toxicity studies this study presents a systematic study on sequential treatment of highly resistant landfill leachate by electrocoagulation (ec)/aeration, sulfate radical advanced oxidation process (sr-aop) and electro-fenton (ef). in case of sr-aop, peroxymonosulfate (pms) catalyzed by zero valent iron (zvi) and ultraviolet irradiation (uv) system was developed. treatment process was optimized in respect to cod removal. analysis of results revealed that sequential application of ec/aeration, pms/zvi/uv, and ef processes provide an extraordinary performance and meet the environmental regulations. the source of iron for ef process was provided from previous process reducing the cost of sequential process. separately, ec/aeration (inlet cod = 4040 mg/l), pms/zvi/uv (inlet cod = 1560 mg/l), and ef (inlet cod = 471 mg/l) removed 61, 69 and 82% of cod respectively. overall, sequential processes of ec/aeration, pms/zvi/uv and ef could remove the cod, toc and ammonia of the landfill leachate around 98%, 93% and 94%, respectively. the comparison of different sequences of following processes indicated that current configuration (ec/aeration-pms/zvi/uv-ef) could meet the discharge standards. furthermore, humification degree was significantly improved after oxidative processes. biodegradability study was also performed by means of bod/cod, average oxidation state (aos), and zahn-wellens test, and the best results associated with these indices were obtained 0.56, 2.37, and over 98%, respectively. phytotoxicity of leachate was remarkably reduced and the final effluent can be considered as a non-phytotoxic wastewater. © 2023 elsevier ltd",1,water,0.9017586708068848
