Title,Abstract,Label,y,Text
the preparation of paddy soil amendment using granite and marble waste: performance and mechanisms,"the wastes generated from the mining and processing of granite and marble stone are generally regarded as useless. however, these waste materials were used as the soil amendments for the first time. the functional groups, crystalline structure and micro-morphology of granite and marble wastes amendments (gmwa) were different from the original wastes demonstrated by x-ray diffractometer (xrd), fourier transform infrared spectrometer (ft-ir) and scanning electron microscope-energy dispersive spectrometer (sem-eds) analyses. with the addition of the amendments, the cation exchange capacity, electrical conductivity and nutrient availability of the soil increased, and the extractable heavy metals of the soil reduced significantly. under the condition of the addition of 3% amendments, 7.0%, 99.9%, 99.7% and 70.5% of cu, pb, zn and cd in exchangeable fractions in soil were transformed to the more stable fe-mn oxides- or carbonates-bounded fractions. tessier method and correlation analysis showed that the reduction of extractable metals in the acidic paddy soil can be attributed to the adsorption of available sio2, the co-precipitation induced by the elevated ph value, the complexation induced by fe-mn oxides and the cation exchange induced by mineral nutrients. this study provides a new strategy for resource recovery of waste stones and remediation of heavy metal-contaminated soil. © 2022",soil,0,"the preparation of paddy soil amendment using granite and marble waste: performance and mechanisms the wastes generated from the mining and processing of granite and marble stone are generally regarded as useless. however, these waste materials were used as the soil amendments for the first time. the functional groups, crystalline structure and micro-morphology of granite and marble wastes amendments (gmwa) were different from the original wastes demonstrated by x-ray diffractometer (xrd), fourier transform infrared spectrometer (ft-ir) and scanning electron microscope-energy dispersive spectrometer (sem-eds) analyses. with the addition of the amendments, the cation exchange capacity, electrical conductivity and nutrient availability of the soil increased, and the extractable heavy metals of the soil reduced significantly. under the condition of the addition of 3% amendments, 7.0%, 99.9%, 99.7% and 70.5% of cu, pb, zn and cd in exchangeable fractions in soil were transformed to the more stable fe-mn oxides- or carbonates-bounded fractions. tessier method and correlation analysis showed that the reduction of extractable metals in the acidic paddy soil can be attributed to the adsorption of available sio2, the co-precipitation induced by the elevated ph value, the complexation induced by fe-mn oxides and the cation exchange induced by mineral nutrients. this study provides a new strategy for resource recovery of waste stones and remediation of heavy metal-contaminated soil. © 2022"
heavy metal pollution risk of desulfurized steel slag as a soil amendment in cycling use of solid wastes,"the by-product of wet flue gas desulfurization, desulfurized steel slag (ds), had chemical characteristics like natural gypsum that can be used to improve saline-sodic soil. however, contamination risk of heavy metals for cycling utilization of ds in agriculture was concerned mostly. both pot and field experiments were conducted for evaluating the potential pollution risk of ds as the amendment of saline-sodic soil. results showed that application of ds decreased the contents of cd, cu, zn, and pb, while significantly increasing chromium (cr) content in ds-amended soils. the field experiment demonstrated that the migration of heavy metals (cd, zn, cu, and pb) in the soil profile was negligible. the application of ds at the dosage of 22.5–225 tons/ha significantly increased the cr content in alfalfa (medicago sativa l.) but lower than the national standard for feed in china (gb 13078-2017). ds altered the chemical fraction of heavy metals (zn, cu, and pb), transferred exchangeable, reducible into oxidizable and residual forms in ds-amended soil. application of ds combined with fulvic acid (fa) could effectively reduce the movement of heavy metals in soil and the accumulation of cr in alfalfa. based on our results, ds was a safe and feasible material for agricultural use and presented relatively little pollution risk of heavy metals. however, the results also showed that ds to a certain extent had a potential environmental risk of cr if larger dosages of ds were used. © 2022",soil,0,"heavy metal pollution risk of desulfurized steel slag as a soil amendment in cycling use of solid wastes the by-product of wet flue gas desulfurization, desulfurized steel slag (ds), had chemical characteristics like natural gypsum that can be used to improve saline-sodic soil. however, contamination risk of heavy metals for cycling utilization of ds in agriculture was concerned mostly. both pot and field experiments were conducted for evaluating the potential pollution risk of ds as the amendment of saline-sodic soil. results showed that application of ds decreased the contents of cd, cu, zn, and pb, while significantly increasing chromium (cr) content in ds-amended soils. the field experiment demonstrated that the migration of heavy metals (cd, zn, cu, and pb) in the soil profile was negligible. the application of ds at the dosage of 22.5–225 tons/ha significantly increased the cr content in alfalfa (medicago sativa l.) but lower than the national standard for feed in china (gb 13078-2017). ds altered the chemical fraction of heavy metals (zn, cu, and pb), transferred exchangeable, reducible into oxidizable and residual forms in ds-amended soil. application of ds combined with fulvic acid (fa) could effectively reduce the movement of heavy metals in soil and the accumulation of cr in alfalfa. based on our results, ds was a safe and feasible material for agricultural use and presented relatively little pollution risk of heavy metals. however, the results also showed that ds to a certain extent had a potential environmental risk of cr if larger dosages of ds were used. © 2022"
heavy metals concentration in the sediment of the aquaticenvironment caused by the leachate discharge from a landfill,"background and objectives: heavy metals are categorized as hazardous pollutants due to their incapability in decomposing and undergoing bioaccumulation and biomagnification. heavy metal pollution is a global issue, particularly in emerging nations such as indonesia. in this case, sediments contribute to pollution dispersion because they can transport, mobilize, and redistribute toxic compounds. the cisadane river is one of 15 watersheds in indonesia with the highest restoration priority. therefore, it is essential to conduct study on the sediment quality of this river. this investigation aimed to evaluate the levels of cadmium, chromium, and lead in the sediments to assess the conditions of the cisadane river. methods: at eight stations (representing the midstream and downstream region), surface sediment samples were collected using a van veen sediment grab based on the hypothesis that heavy metal pollution originated from land-based activities and migrated down river estuaries. the thermo scientific icap 7400 was utilized to assess heavy metals (cadmium, chromium, and lead) by adopting prior research methodologies and method guidelines. findings: except for lead, which surpassed the interim sediment quality standard, the levels of heavy metals observed in the midstream and downstream sections of the cisadane river were found to be well below the guideline level. in this case, lead was the metal with the highest concentration in the sediments of the cisadane river, followed by chromium and cadmium. the enrichment of heavy metals in river sediments was most likely caused by soil leaching, municipal and industrial sewage, as well as land waste disposal. after the landfill area, there were two areas with the highest concentration. therefore, this investigation indicated the existence of landfills as point sources of heavy metals. regarding specifics, two sites following the landfill constitute the apex of heavy metal amplification. conclusion: this analysis shows that the sediment’s cadmium, chromium, and lead contents are below the standards’ threshold and safe for the habitat. cadmium, chromium and lead exceed sediment quality requirements in sample sites after landfills, assumed to be due to leachate discharge and landfill activities. this study further also reveals that landfills are point sources of heavy metals. in this case, the heavy metals are two to four times higher in one kilometer from the landfill’s leachate discharge. therefore, the enforcement of the indonesia waste law number 18 year 2008 would have replaced unsanitary dumping including implementation of physicochemical, biological, and combination remediation techniques, with a vastly superior waste management system. © 2023 the author(s). this article is licensed under a creative commons attribution 4.0 international license, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the creative commons license, and indicate if changes were made. the images or other third-party material in this article are included in the article’s creative commons license, unless indicated otherwise in a credit line to the material. if material is not included in the article’s creative commons license and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. to view a copy of this license, visit: http://creativecommons. org/licenses/by/4.0/",soil,0,"heavy metals concentration in the sediment of the aquaticenvironment caused by the leachate discharge from a landfill background and objectives: heavy metals are categorized as hazardous pollutants due to their incapability in decomposing and undergoing bioaccumulation and biomagnification. heavy metal pollution is a global issue, particularly in emerging nations such as indonesia. in this case, sediments contribute to pollution dispersion because they can transport, mobilize, and redistribute toxic compounds. the cisadane river is one of 15 watersheds in indonesia with the highest restoration priority. therefore, it is essential to conduct study on the sediment quality of this river. this investigation aimed to evaluate the levels of cadmium, chromium, and lead in the sediments to assess the conditions of the cisadane river. methods: at eight stations (representing the midstream and downstream region), surface sediment samples were collected using a van veen sediment grab based on the hypothesis that heavy metal pollution originated from land-based activities and migrated down river estuaries. the thermo scientific icap 7400 was utilized to assess heavy metals (cadmium, chromium, and lead) by adopting prior research methodologies and method guidelines. findings: except for lead, which surpassed the interim sediment quality standard, the levels of heavy metals observed in the midstream and downstream sections of the cisadane river were found to be well below the guideline level. in this case, lead was the metal with the highest concentration in the sediments of the cisadane river, followed by chromium and cadmium. the enrichment of heavy metals in river sediments was most likely caused by soil leaching, municipal and industrial sewage, as well as land waste disposal. after the landfill area, there were two areas with the highest concentration. therefore, this investigation indicated the existence of landfills as point sources of heavy metals. regarding specifics, two sites following the landfill constitute the apex of heavy metal amplification. conclusion: this analysis shows that the sediment’s cadmium, chromium, and lead contents are below the standards’ threshold and safe for the habitat. cadmium, chromium and lead exceed sediment quality requirements in sample sites after landfills, assumed to be due to leachate discharge and landfill activities. this study further also reveals that landfills are point sources of heavy metals. in this case, the heavy metals are two to four times higher in one kilometer from the landfill’s leachate discharge. therefore, the enforcement of the indonesia waste law number 18 year 2008 would have replaced unsanitary dumping including implementation of physicochemical, biological, and combination remediation techniques, with a vastly superior waste management system. © 2023 the author(s). this article is licensed under a creative commons attribution 4.0 international license, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the creative commons license, and indicate if changes were made. the images or other third-party material in this article are included in the article’s creative commons license, unless indicated otherwise in a credit line to the material. if material is not included in the article’s creative commons license and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. to view a copy of this license, visit: http://creativecommons. org/licenses/by/4.0/"
"occurrence, spatial distribution and ecological risks of antibiotics in soil in urban agglomeration","antibiotics in soil environment are regarded as emerging pollutants and have introduced increasing risks to soil ecosystem and human health in rapid urbanization areas. identifying the occurrence and spatial variability of antibiotics in soils is an urgent issue in sustaining soil security. in this study, antibiotics in soils were investigated and analyzed in beijing-tianjin-hebei urban agglomeration. the occurrence, spatial distribution, and related affecting factors of antibiotics in soils were identified and ecological risks of antibiotics in soil environment were assessed. results showed that (1) the mean concentration of soil antibiotics in beijing-tianjin-hebei urban agglomeration was 21.79 μg/kg. land use substantially affected the occurrence and concentration of antibiotics in soils. concentrations of antibiotics in cropland and orchard soils were 2-3 times higher than the other land use types. (2) the concentrations of antibiotics in soils in beijing-tianjin-hebei urban agglomeration presented a spatial pattern of high values in southeast, and low values in northwest. spatial variability of antibiotics in soils was closely related to the application of organic fertilizer and wastewater irrigation as well as topographical features. furthermore, soil properties and land management policy had substantial influences on soil antibiotics, and soil heavy metals may aggravate the accumulation of antibiotics in soils. (3) ecological risks assessment of antibiotics in soils demonstrated that erythromycin (ery), sulfamethoxazole (smx), and doxycycline (dox) may introduce high risks to soil ecosystem health, and more attention should be paid to the areas with intensive human activities that had potential high risk to soil ecosystem health. this study suggests that scientific land and soil management should be considered to prevent soil antibiotic pollution and sustain soil security in urban agglomeration. © 2022",soil,0,"occurrence, spatial distribution and ecological risks of antibiotics in soil in urban agglomeration antibiotics in soil environment are regarded as emerging pollutants and have introduced increasing risks to soil ecosystem and human health in rapid urbanization areas. identifying the occurrence and spatial variability of antibiotics in soils is an urgent issue in sustaining soil security. in this study, antibiotics in soils were investigated and analyzed in beijing-tianjin-hebei urban agglomeration. the occurrence, spatial distribution, and related affecting factors of antibiotics in soils were identified and ecological risks of antibiotics in soil environment were assessed. results showed that (1) the mean concentration of soil antibiotics in beijing-tianjin-hebei urban agglomeration was 21.79 μg/kg. land use substantially affected the occurrence and concentration of antibiotics in soils. concentrations of antibiotics in cropland and orchard soils were 2-3 times higher than the other land use types. (2) the concentrations of antibiotics in soils in beijing-tianjin-hebei urban agglomeration presented a spatial pattern of high values in southeast, and low values in northwest. spatial variability of antibiotics in soils was closely related to the application of organic fertilizer and wastewater irrigation as well as topographical features. furthermore, soil properties and land management policy had substantial influences on soil antibiotics, and soil heavy metals may aggravate the accumulation of antibiotics in soils. (3) ecological risks assessment of antibiotics in soils demonstrated that erythromycin (ery), sulfamethoxazole (smx), and doxycycline (dox) may introduce high risks to soil ecosystem health, and more attention should be paid to the areas with intensive human activities that had potential high risk to soil ecosystem health. this study suggests that scientific land and soil management should be considered to prevent soil antibiotic pollution and sustain soil security in urban agglomeration. © 2022"
remediation performance and mechanisms of cu and cd contaminated water and soil using mn/al-layered double oxide-loaded biochar,"the combined pollution of heavy metals is ubiquitous worldwide. mn/al-layered double oxide-loaded crab shells biochar (ldo/bc) was prepared, so as to remediate the combined pollution of cd and cu in soil and water. the pristine and used ldo/bc were characterized and the results revealed that the layered double oxide was successfully loaded on crab shells biochar (bc) and metal element ca in crab shells was beneficial to the formation of more regular layered and flake structure. the maximal adsorption capacity (qm) of ldo/bc for aqueous cu2+ and cd2+ was 66.23 and 73.47 mg/g, respectively. ldo/bc and bc were used to remediate e-waste-contaminated soil for the first time and exhibited highly efficient performance. the extraction amount of cu and cd in the contaminated soil by diethylene triamine penta-acetic acid (dtpa) after treating with 5% ldo/bc was significantly reduced from 819.84 to 205.95 mg/kg (with passivation rate 74.8%) and 8.46 to 4.16 mg/kg (with passivation rate 50.8%), respectively, inferring that the bioavailability of heavy metals declined remarkably. the experimental result also suggested that after remediation by ldo/bc the exchangeable and weak acid soluble cu and cd in soil translated to reducible, residual and oxidizable fraction which are more stable state. precipitation, complexation and ion exchange were proposed as the possible mechanisms for cd and cu removal. in general, these experiment results indicate that ldo/bc can be a potentially effective reagent for remediation of heavy metal contaminated water and soil. © 2022",soil,0,"remediation performance and mechanisms of cu and cd contaminated water and soil using mn/al-layered double oxide-loaded biochar the combined pollution of heavy metals is ubiquitous worldwide. mn/al-layered double oxide-loaded crab shells biochar (ldo/bc) was prepared, so as to remediate the combined pollution of cd and cu in soil and water. the pristine and used ldo/bc were characterized and the results revealed that the layered double oxide was successfully loaded on crab shells biochar (bc) and metal element ca in crab shells was beneficial to the formation of more regular layered and flake structure. the maximal adsorption capacity (qm) of ldo/bc for aqueous cu2+ and cd2+ was 66.23 and 73.47 mg/g, respectively. ldo/bc and bc were used to remediate e-waste-contaminated soil for the first time and exhibited highly efficient performance. the extraction amount of cu and cd in the contaminated soil by diethylene triamine penta-acetic acid (dtpa) after treating with 5% ldo/bc was significantly reduced from 819.84 to 205.95 mg/kg (with passivation rate 74.8%) and 8.46 to 4.16 mg/kg (with passivation rate 50.8%), respectively, inferring that the bioavailability of heavy metals declined remarkably. the experimental result also suggested that after remediation by ldo/bc the exchangeable and weak acid soluble cu and cd in soil translated to reducible, residual and oxidizable fraction which are more stable state. precipitation, complexation and ion exchange were proposed as the possible mechanisms for cd and cu removal. in general, these experiment results indicate that ldo/bc can be a potentially effective reagent for remediation of heavy metal contaminated water and soil. © 2022"
depth-dependent patterns of soil microbial community in the e-waste dismantling area,"the long-term dismantling of electronic waste (e-waste) has contaminated the soil environment considerably. in spite of this, it is unknown if it affects the depth-resolved microbial communities. in the present research, six soil profiles (dismantling sites and the surrounding farmland) were collected from one of the largest chinese e-waste disposal centers to identify depth-resolved microbiota and assess how heavy metal contamination affects microbial adaptation. results suggested that cadmium (0.12–7.22 mg kg−1) and copper (18.99–11282.03 mg kg−1) were the main pollutants in the test soil profiles, and their concentrations gradually decreased with depth. the surrounding contaminated farmland has a more complex interaction and higher modularity (0.77–0.85) among microbes, indicating a stronger niche differentiation to enhance functional diversity. the proportion of positive interactions between taxa decreased with depth, as high heavy metals contamination in the topsoil results in the co-occurrence of microorganisms with the same ecological niche that collaborated to face environmental stress. soil physicochemical properties, heavy metals concentration, and soil depth critically affect microbial communities. microbial community assembly processes in the topsoil were affected by environmental filtering, i.e., by deterministic processes (nst: 13–52%), while were more stochastic (nst: 46–72%) in the subsoil due to the environment of soil becoming more homogeneous as soil depth increased. © 2022 elsevier b.v.",soil,0,"depth-dependent patterns of soil microbial community in the e-waste dismantling area the long-term dismantling of electronic waste (e-waste) has contaminated the soil environment considerably. in spite of this, it is unknown if it affects the depth-resolved microbial communities. in the present research, six soil profiles (dismantling sites and the surrounding farmland) were collected from one of the largest chinese e-waste disposal centers to identify depth-resolved microbiota and assess how heavy metal contamination affects microbial adaptation. results suggested that cadmium (0.12–7.22 mg kg−1) and copper (18.99–11282.03 mg kg−1) were the main pollutants in the test soil profiles, and their concentrations gradually decreased with depth. the surrounding contaminated farmland has a more complex interaction and higher modularity (0.77–0.85) among microbes, indicating a stronger niche differentiation to enhance functional diversity. the proportion of positive interactions between taxa decreased with depth, as high heavy metals contamination in the topsoil results in the co-occurrence of microorganisms with the same ecological niche that collaborated to face environmental stress. soil physicochemical properties, heavy metals concentration, and soil depth critically affect microbial communities. microbial community assembly processes in the topsoil were affected by environmental filtering, i.e., by deterministic processes (nst: 13–52%), while were more stochastic (nst: 46–72%) in the subsoil due to the environment of soil becoming more homogeneous as soil depth increased. © 2022 elsevier b.v."
heterogeneous distributions of heavy metals in the soil-groundwater system empowers the knowledge of the pollution migration at a smelting site,"heavy metal contaminations of soil-groundwater systems from smelting activities is a widespread problem affecting >30 % of industrial lands worldwide. contaminants from the soil migrate into the groundwater and spread further into the surrounding area, causing persistent hazards to human health and the environment. in the present study, migration behaviors and patterns of four persistent pollutants—cadmium (cd), zinc (zn), lead (pb) and arsenic (as)—in a soil-groundwater system were investigated through their heterogeneous distribution characteristics. the results show that these heavy metals (hm) migrate in the vadose zone vertically downwards by gravity while in the saturated aquifer, migration patterns were more probably dominated by solute transport due to groundwater flow. in addition, the migration potential of hms based on their speciation was ranked as cd > zn > pb > as, which equally reflected their associated environmental risks. correlation analysis suggested that external pollutant input and hydrogeological characteristics are the main factors controlling the migration and transformation of hms. the original form of hms in smelting waste slag determines the release rate. moreover, partitioning of hms with the exchangeable phase was closely related to the formation, distribution and extent of groundwater pollution. the migration behaviors and patterns of hms in the soil-groundwater system of a smelting site were confirmed for the first time through field tests, which could provide valuable insights into contaminant transport and potential barrier control interventions at polluted sites. © 2022 elsevier b.v.",soil,0,"heterogeneous distributions of heavy metals in the soil-groundwater system empowers the knowledge of the pollution migration at a smelting site heavy metal contaminations of soil-groundwater systems from smelting activities is a widespread problem affecting >30 % of industrial lands worldwide. contaminants from the soil migrate into the groundwater and spread further into the surrounding area, causing persistent hazards to human health and the environment. in the present study, migration behaviors and patterns of four persistent pollutants—cadmium (cd), zinc (zn), lead (pb) and arsenic (as)—in a soil-groundwater system were investigated through their heterogeneous distribution characteristics. the results show that these heavy metals (hm) migrate in the vadose zone vertically downwards by gravity while in the saturated aquifer, migration patterns were more probably dominated by solute transport due to groundwater flow. in addition, the migration potential of hms based on their speciation was ranked as cd > zn > pb > as, which equally reflected their associated environmental risks. correlation analysis suggested that external pollutant input and hydrogeological characteristics are the main factors controlling the migration and transformation of hms. the original form of hms in smelting waste slag determines the release rate. moreover, partitioning of hms with the exchangeable phase was closely related to the formation, distribution and extent of groundwater pollution. the migration behaviors and patterns of hms in the soil-groundwater system of a smelting site were confirmed for the first time through field tests, which could provide valuable insights into contaminant transport and potential barrier control interventions at polluted sites. © 2022 elsevier b.v."
synergy of directional oxidation and vacuum gasification for green recovery of as2o3 from arsenic-containing hazardous secondary resources,"arsenic, a hazardous material that is toxic for humans, enters the human body through soil, water, and air. furthermore, metal smelting is known to produce arsenic-containing hazardous secondary resources (ahsrs), which cause irreversible damage to the total environment. therefore, a novel, clean, and efficient arsenic fixation technology has been developed in this study for arsenic removal, which involves directional oxidation and vacuum gasification of ahsrs. oxidation results revealed that physical phases containing arsenic (as, as2o3, as2te3 and cu3as) are selectively oxidized to as2o3 completely and thus classified as oxidative modulation products (omps). meanwhile, approximately 98.82% as2o3 of omps convert into volatiles in the following gasification. characterization results showed that as2o3 with 96.72% purity and uniform microscopic distribution was obtained in the form of monoclinic crystalline needle-like crystals. the proposed approach organically combines oxidation and volatilization properties of each element to facilitate clean and efficient separation as well as recovery of as2o3. no hazardous gas or wastewater is discharged during the entire process, thereby ensuring that arsenic is recycled in a sustainable and clean manner. overall, this study provides a clean and low-carbon approach for recycling secondary resources containing arsenic. © 2022 elsevier b.v.",soil,0,"synergy of directional oxidation and vacuum gasification for green recovery of as2o3 from arsenic-containing hazardous secondary resources arsenic, a hazardous material that is toxic for humans, enters the human body through soil, water, and air. furthermore, metal smelting is known to produce arsenic-containing hazardous secondary resources (ahsrs), which cause irreversible damage to the total environment. therefore, a novel, clean, and efficient arsenic fixation technology has been developed in this study for arsenic removal, which involves directional oxidation and vacuum gasification of ahsrs. oxidation results revealed that physical phases containing arsenic (as, as2o3, as2te3 and cu3as) are selectively oxidized to as2o3 completely and thus classified as oxidative modulation products (omps). meanwhile, approximately 98.82% as2o3 of omps convert into volatiles in the following gasification. characterization results showed that as2o3 with 96.72% purity and uniform microscopic distribution was obtained in the form of monoclinic crystalline needle-like crystals. the proposed approach organically combines oxidation and volatilization properties of each element to facilitate clean and efficient separation as well as recovery of as2o3. no hazardous gas or wastewater is discharged during the entire process, thereby ensuring that arsenic is recycled in a sustainable and clean manner. overall, this study provides a clean and low-carbon approach for recycling secondary resources containing arsenic. © 2022 elsevier b.v."
a review of microbial degradation of per- and polyfluoroalkyl substances (pfas): biotransformation routes and enzymes,"since the 1950s, copious amounts of per- and polyfluoroalkyl substances (pfas) (dubbed “forever chemicals”) have been dumped into the environment, causing heavy contamination of soil, surface water, and groundwater sources. humans, animals, and the environment are frequently exposed to pfas through food, water, consumer products, as well as waste streams from pfas-manufacturing industries. pfas are a large group of synthetic organic fluorinated compounds with widely diverse chemical structures that are extremely resistant to microbial degradation. their persistence, toxicity to life on earth, bioaccumulation tendencies, and adverse health and ecological effects have earned them a “top priority pollutant” designation by regulatory bodies. despite that a number of physicochemical methods exist for pfas treatment, they suffer from major drawbacks regarding high costs, use of high energy and incomplete mineralization (destruction of the c[sbnd]f bond). consequently, microbial degradation and enzymatic treatment of pfas are highly sought after as they offer a complete, cheaper, sustainable, and environmentally friendly alternative. in this critical review, we provide an overview of the classification, properties, and interaction of pfas within the environment relevant to microbial degradation. we discuss latest developments in the biodegradation of pfas by microbes, transformation routes, transformation products and degradative enzymes. finally, we highlight the existing challenges, limitations, and prospects of bioremediation approaches in treating pfas and proffer possible solutions and future research directions. © 2022 elsevier b.v.",soil,0,"a review of microbial degradation of per- and polyfluoroalkyl substances (pfas): biotransformation routes and enzymes since the 1950s, copious amounts of per- and polyfluoroalkyl substances (pfas) (dubbed “forever chemicals”) have been dumped into the environment, causing heavy contamination of soil, surface water, and groundwater sources. humans, animals, and the environment are frequently exposed to pfas through food, water, consumer products, as well as waste streams from pfas-manufacturing industries. pfas are a large group of synthetic organic fluorinated compounds with widely diverse chemical structures that are extremely resistant to microbial degradation. their persistence, toxicity to life on earth, bioaccumulation tendencies, and adverse health and ecological effects have earned them a “top priority pollutant” designation by regulatory bodies. despite that a number of physicochemical methods exist for pfas treatment, they suffer from major drawbacks regarding high costs, use of high energy and incomplete mineralization (destruction of the c[sbnd]f bond). consequently, microbial degradation and enzymatic treatment of pfas are highly sought after as they offer a complete, cheaper, sustainable, and environmentally friendly alternative. in this critical review, we provide an overview of the classification, properties, and interaction of pfas within the environment relevant to microbial degradation. we discuss latest developments in the biodegradation of pfas by microbes, transformation routes, transformation products and degradative enzymes. finally, we highlight the existing challenges, limitations, and prospects of bioremediation approaches in treating pfas and proffer possible solutions and future research directions. © 2022 elsevier b.v."
metagenomics indicates abundance of biofilm related genes and horizontal transfer of multidrug resistant genes among bacterial communities in nano zinc oxide polluted soil,"the unsafe and reckless disposal of metal oxide nanoparticles like zno (nzno) into the soil could seriously impact bacterial behavioural responses and functions. under such stress, biofilm formation is considered to be a robust mechanism for bacterial survival in soil. we examined the response of bacterial metagenomes in soils exposed to varying levels of zn (50, 200, 500 and 1000 mg kg−1) as nano zn oxide (nzno) in terms of biofilm genesis and regulation and their co-occurrences with multidrug resistance genes (mdrgs) and mobile genetic elements (mges). the size-specific effects of nzno were verified using its bulk counterpart (bzno). both nzno and bzno facilitated profusion of biofilm related genes (bgs) especially at higher zn levels (500 and 1000 mg kg−1 zn), though maximum abundance was registered at a comparatively lower level under nzno. in general, nzno favoured an enhancement of genes involved in exopolysaccharide biosynthesis and attachment, while bzno favoured genes related to capsule formation, chemotaxis and biofilm dispersion. co-occurrence network analysis revealed significant positive correlations between abundances of bgs, mdrgs and mges, indicating an enhanced probability for horizontal gene transfer of mdrgs in nzno polluted soils. © 2022 elsevier b.v.",soil,0,"metagenomics indicates abundance of biofilm related genes and horizontal transfer of multidrug resistant genes among bacterial communities in nano zinc oxide polluted soil the unsafe and reckless disposal of metal oxide nanoparticles like zno (nzno) into the soil could seriously impact bacterial behavioural responses and functions. under such stress, biofilm formation is considered to be a robust mechanism for bacterial survival in soil. we examined the response of bacterial metagenomes in soils exposed to varying levels of zn (50, 200, 500 and 1000 mg kg−1) as nano zn oxide (nzno) in terms of biofilm genesis and regulation and their co-occurrences with multidrug resistance genes (mdrgs) and mobile genetic elements (mges). the size-specific effects of nzno were verified using its bulk counterpart (bzno). both nzno and bzno facilitated profusion of biofilm related genes (bgs) especially at higher zn levels (500 and 1000 mg kg−1 zn), though maximum abundance was registered at a comparatively lower level under nzno. in general, nzno favoured an enhancement of genes involved in exopolysaccharide biosynthesis and attachment, while bzno favoured genes related to capsule formation, chemotaxis and biofilm dispersion. co-occurrence network analysis revealed significant positive correlations between abundances of bgs, mdrgs and mges, indicating an enhanced probability for horizontal gene transfer of mdrgs in nzno polluted soils. © 2022 elsevier b.v."
